cohort,outcome,comparison,delta_spearman,spearman_2_5,spearman_97_5,P_delta_spearman_gt0,delta_pearson,pearson_2_5,pearson_97_5,P_delta_pearson_gt0,classification
WC2018,YCYCLE_NET_XG,B6_vs_B5_COARSE_ORIGIN_FAILURE,-0.012222627893069856,-0.05186803187833978,0.0,0.0,-0.00787465615679813,-0.02199670924912428,0.0032935559770680446,0.1037,NO_CLEAR_DIFFERENCE
WC2018,YCYCLE_NET_XG,B6_vs_B0,0.09796242004072085,-0.20714584498089902,0.4187346384708106,0.7294,0.0877216001875866,-0.23241848078960242,0.39442194358057286,0.7173,NO_CLEAR_DIFFERENCE
WC2018,YCYCLE_NET_XG,B6_vs_B1,0.06928058463592322,-0.21260407433738146,0.35423957209960183,0.6901,0.08180962254611364,-0.22874401077077572,0.3805841990650302,0.7117,NO_CLEAR_DIFFERENCE
WC2018,YNEXTSHOT,B6_vs_B2_XR,-0.0007532810812228189,-0.14838097826145769,0.15461600659472866,0.4837,0.004336290310473248,-0.1459027256630844,0.1381677298754526,0.537,NO_CLEAR_DIFFERENCE
WC2018,YNEXTSHOT,B6_vs_B3_SUCCESS_ONLY,0.05133187998482465,-0.13130008326698928,0.29217220351979745,0.662,0.05354352836152318,-0.09289380427548986,0.2543237146083289,0.7039,NO_CLEAR_DIFFERENCE
WC2018,YNEXTSHOT,B6_vs_B4_FIXED_FAILURE,-0.009830312107082887,-0.04817947774917247,0.016581611132820775,0.1927,-8.967782351848958e-05,-0.012992949197770786,0.009189628187483078,0.5395,NO_CLEAR_DIFFERENCE
WC2018,YNEXTSHOT,B6_vs_B5_COARSE_ORIGIN_FAILURE,-0.009173740879388196,-0.04299159031837978,0.0,0.0,-0.007120445940676584,-0.0266747302840023,0.007608225744592992,0.213,NO_CLEAR_DIFFERENCE
WC2018,YNEXTSHOT,B6_vs_B0,-0.11022393077625996,-0.46179704227143437,0.23138253494430544,0.27,-0.07607330916498228,-0.5044801380554338,0.2811615245059438,0.3798,NO_CLEAR_DIFFERENCE
WC2018,YNEXTSHOT,B6_vs_B1,-0.14155093689957168,-0.4596365546091448,0.1599476538957893,0.1832,-0.09200853491304681,-0.5200565594264868,0.2622106273049664,0.3501,NO_CLEAR_DIFFERENCE
WC2022,Y10_NET_XG,B6_vs_B2_XR,0.09600252120536543,-0.0860973534309222,0.2941406611087627,0.8422,0.05197338649846065,-0.06497487536106583,0.19657725312922497,0.7773,NO_CLEAR_DIFFERENCE
WC2022,Y10_NET_XG,B6_vs_B3_SUCCESS_ONLY,-0.04921592244151758,-0.2538321727984496,0.12908171086923195,0.3111,-0.03952098408136969,-0.17289564498787868,0.08404258303656964,0.275,NO_CLEAR_DIFFERENCE
WC2022,Y10_NET_XG,B6_vs_B4_FIXED_FAILURE,-0.021112685625900157,-0.07143403901670894,0.0,0.0,-0.0033885134911572296,-0.012100340229601077,0.004473594919820987,0.2248,NO_CLEAR_DIFFERENCE
WC2022,Y10_NET_XG,B6_vs_B5_COARSE_ORIGIN_FAILURE,-0.0006223862605898655,-0.033088488804961146,0.030134861830138256,0.4052,-0.0022258666071993645,-0.008818762046354671,0.00423062532450682,0.2359,NO_CLEAR_DIFFERENCE
WC2022,Y10_NET_XG,B6_vs_B0,-0.32642733064316454,-0.7792269512681093,0.12690671483326735,0.0804,-0.3519389084188891,-0.8282358405996174,0.10324543200004162,0.0699,NO_CLEAR_DIFFERENCE
WC2022,Y10_NET_XG,B6_vs_B1,-0.3073914926483324,-0.7822837765302302,0.17234241713485798,0.1052,-0.3464461638318387,-0.8268265561785291,0.11376279916480908,0.0724,NO_CLEAR_DIFFERENCE
WC2022,Y30_NET_XG,B6_vs_B2_XR,0.0981592573859205,-0.07605825041649462,0.27958473303781683,0.8688,0.05501737401695734,-0.05681428083701254,0.19857730135301804,0.7992,NO_CLEAR_DIFFERENCE
WC2022,Y30_NET_XG,B6_vs_B3_SUCCESS_ONLY,-0.02446630205311438,-0.2135204233181421,0.14890586128337313,0.4019,-0.031418715416092424,-0.1596974451681481,0.0921188797769511,0.3177,NO_CLEAR_DIFFERENCE
WC2022,Y30_NET_XG,B6_vs_B4_FIXED_FAILURE,-0.018952252066132654,-0.06467556942387702,0.0,0.0,-0.004283194064286719,-0.012632232176307283,0.0033095003749460563,0.1543,NO_CLEAR_DIFFERENCE
WC2022,Y30_NET_XG,B6_vs_B5_COARSE_ORIGIN_FAILURE,-0.002043061641411515,-0.03497522620283328,0.026960990878116504,0.391,-0.0037250831431395156,-0.010379731662054177,0.00248079084773722,0.1142,NO_CLEAR_DIFFERENCE
WC2022,Y30_NET_XG,B6_vs_B0,-0.2888058877997418,-0.7588119696593054,0.18080320798795863,0.1164,-0.34791679556174004,-0.8296752567013971,0.0977809829491765,0.0687,NO_CLEAR_DIFFERENCE
WC2022,Y30_NET_XG,B6_vs_B1,-0.25923956121131125,-0.74349917329152,0.22753931008403833,0.1468,-0.3380431619786233,-0.8164460148554128,0.105422656019742,0.0734,NO_CLEAR_DIFFERENCE
WC2022,YCYCLE_NET_XG,B6_vs_B2_XR,0.05855995939335019,-0.10113508865045719,0.22917864844230737,0.7615,0.039773854778137864,-0.09083463264678976,0.19765012943739943,0.6929,NO_CLEAR_DIFFERENCE
WC2022,YCYCLE_NET_XG,B6_vs_B3_SUCCESS_ONLY,-0.03698910805317164,-0.22891312230203228,0.13689590205474184,0.3429,-0.0592198856000326,-0.1986296666142385,0.07573263295273906,0.1966,NO_CLEAR_DIFFERENCE
WC2022,YCYCLE_NET_XG,B6_vs_B4_FIXED_FAILURE,-0.017220523036402306,-0.06166637279355961,0.0009226617300890915,0.0607,-0.0064577274264122995,-0.013974668317773095,0.0007483344173986178,0.0394,NO_CLEAR_DIFFERENCE
WC2022,YCYCLE_NET_XG,B6_vs_B5_COARSE_ORIGIN_FAILURE,0.0010505095120576186,-0.030001760375923132,0.03921583648014134,0.4373,-0.005962144567214237,-0.013506165686441522,0.0022305748806823833,0.0729,NO_CLEAR_DIFFERENCE
WC2022,YCYCLE_NET_XG,B6_vs_B0,-0.5368832804114011,-0.9428028916841579,-0.13413080976047653,0.0037,-0.6386985624363765,-1.068579100367217,-0.2094784693203813,0.001,BASELINE_CLEARLY_BETTER
WC2022,YCYCLE_NET_XG,B6_vs_B1,-0.5296373365011823,-0.9570687129596361,-0.1008105256670795,0.0071,-0.6267716358908849,-1.068621800747215,-0.16514956875424497,0.0033,BASELINE_CLEARLY_BETTER
WC2022,YNEXTSHOT,B6_vs_B2_XR,0.0508348936282564,-0.12904561021115704,0.2254965533588028,0.7193,0.029793473110128754,-0.12553504240198674,0.22380451284390132,0.6011,NO_CLEAR_DIFFERENCE
WC2022,YNEXTSHOT,B6_vs_B3_SUCCESS_ONLY,-0.012445233938445653,-0.21412489283004385,0.1760318591648296,0.4573,-0.017316945312025475,-0.1661932740270904,0.1028744419889143,0.4266,NO_CLEAR_DIFFERENCE
WC2022,YNEXTSHOT,B6_vs_B4_FIXED_FAILURE,-0.018464432108281123,-0.06162855777239505,0.0,0.0,-0.012120904405235097,-0.020364116618170357,-0.002176364696697232,0.0102,NO_CLEAR_DIFFERENCE
WC2022,YNEXTSHOT,B6_vs_B5_COARSE_ORIGIN_FAILURE,-0.009544327312920708,-0.05397179541565078,0.012897282358360187,0.2132,-0.00875604941477844,-0.01666691590138583,-0.0007046893080577003,0.0185,NO_CLEAR_DIFFERENCE
WC2022,YNEXTSHOT,B6_vs_B0,-0.21775096428508578,-0.5381817110242045,0.12173491812182805,0.0933,-0.31540012309154974,-0.5963405313066806,-0.025680202684033555,0.0151,NO_CLEAR_DIFFERENCE
WC2022,YNEXTSHOT,B6_vs_B1,-0.20791825850891574,-0.5271991854158437,0.1263818225292792,0.0998,-0.31349180963750967,-0.6466858726486876,0.01019094614587863,0.0296,NO_CLEAR_DIFFERENCE
WSL2021,Y10_NET_XG,B6_vs_B2_XR,0.07239685288062256,-0.05697151424287855,0.23619109727647356,0.8676,0.0483941199800998,-0.03973371573924634,0.13349886779772568,0.8705,NO_CLEAR_DIFFERENCE
WSL2021,Y10_NET_XG,B6_vs_B3_SUCCESS_ONLY,0.08427098365833308,-0.3162688814961338,0.4398380563220829,0.6973,0.2286057315439445,-0.12333464139499488,0.562943782910498,0.8949,NO_CLEAR_DIFFERENCE
WSL2021,Y10_NET_XG,B6_vs_B4_FIXED_FAILURE,0.0,0.0,0.0,0.0,0.007340895687975244,-0.010099268551296189,0.03011611483038654,0.7473,NO_CLEAR_DIFFERENCE
WSL2021,Y10_NET_XG,B6_vs_B5_COARSE_ORIGIN_FAILURE,0.0,0.0,0.0,0.0,0.0072779738636527865,-0.006627060468362969,0.022504642168515936,0.8397,NO_CLEAR_DIFFERENCE
WSL2021,Y10_NET_XG,B6_vs_B0,0.0072851164056446475,-0.16592592592592592,0.18722836181277855,0.5161,0.07966569734533446,-0.03620506516769403,0.2244036491826325,0.9003,NO_CLEAR_DIFFERENCE
WSL2021,Y10_NET_XG,B6_vs_B1,0.027296819559919607,-0.17015561207415833,0.22256019594269852,0.6257,0.07138436523581151,-0.061065529620562935,0.23231012855094066,0.8365,NO_CLEAR_DIFFERENCE
WSL2021,Y30_NET_XG,B6_vs_B2_XR,0.055213516456411114,-0.08855810008481754,0.2218846124050437,0.782,0.03584357373819211,-0.046917462831602356,0.11579721717663759,0.8185,NO_CLEAR_DIFFERENCE
WSL2021,Y30_NET_XG,B6_vs_B3_SUCCESS_ONLY,0.16059765014434757,-0.22322260219288906,0.5243952419032386,0.8218,0.2723673563407696,-0.05855637807145806,0.5822760502029745,0.9442,NO_CLEAR_DIFFERENCE
WSL2021,Y30_NET_XG,B6_vs_B4_FIXED_FAILURE,0.0,0.0,0.0,0.0,0.0068445415398367005,-0.011876184556988393,0.03087924467809347,0.7167,NO_CLEAR_DIFFERENCE
WSL2021,Y30_NET_XG,B6_vs_B5_COARSE_ORIGIN_FAILURE,0.0,0.0,0.0,0.0,0.0061309386122708745,-0.009074185645894623,0.022576460198034262,0.7749,NO_CLEAR_DIFFERENCE
WSL2021,Y30_NET_XG,B6_vs_B0,-0.030401510632621604,-0.24072217947357252,0.15757981601731585,0.365,0.045580782260101115,-0.07915390102573332,0.1918285516316599,0.741,NO_CLEAR_DIFFERENCE
WSL2021,Y30_NET_XG,B6_vs_B1,-0.01772711868687268,-0.2641047658520024,0.19191125158141642,0.4437,0.0339879273517925,-0.10612823661854914,0.19518570594907053,0.6645,NO_CLEAR_DIFFERENCE
WSL2021,YCYCLE_NET_XG,B6_vs_B2_XR,0.004459434727080279,-0.1783060921248142,0.1875,0.5138,-0.01074535072707942,-0.10916188900706943,0.06691583014930036,0.4299,NO_CLEAR_DIFFERENCE
WSL2021,YCYCLE_NET_XG,B6_vs_B3_SUCCESS_ONLY,0.24843284408364535,-0.1513513208806472,0.6458529135338342,0.8964,0.39768250655938364,0.061958834179098005,0.7363744089309889,0.9928,NO_CLEAR_DIFFERENCE
WSL2021,YCYCLE_NET_XG,B6_vs_B4_FIXED_FAILURE,0.0,0.0,0.0,0.0,0.012030620814254675,-0.013198275687483538,0.04358382945452363,0.7655,NO_CLEAR_DIFFERENCE
WSL2021,YCYCLE_NET_XG,B6_vs_B5_COARSE_ORIGIN_FAILURE,0.0,0.0,0.0,0.0,0.006387600824822075,-0.014022162986059364,0.02920496006186788,0.7008,NO_CLEAR_DIFFERENCE
WSL2021,YCYCLE_NET_XG,B6_vs_B0,-0.1329863633356677,-0.3543628576415461,0.05067253153012879,0.0709,-0.020972437010774315,-0.15082240453339307,0.12856754388782238,0.359,NO_CLEAR_DIFFERENCE
WSL2021,YCYCLE_NET_XG,B6_vs_B1,-0.12299492208474098,-0.36282528176153983,0.08072050965333903,0.1038,-0.05730343325863117,-0.20484086969084303,0.07806836717085733,0.2033,NO_CLEAR_DIFFERENCE
WSL2021,YNEXTSHOT,B6_vs_B2_XR,0.0011693101140652987,-0.16417910447761191,0.19266599515422092,0.4632,-0.006370057754662223,-0.08399772195975166,0.05566763751565989,0.4562,NO_CLEAR_DIFFERENCE
