cohort,keeper,team,goal_kick,pressure_state,realized_bin,n,retention,xR,value
PL1516,Jack Butland,Stoke City,False,PRESSURED,SHORT,4,1.0,0.4798081418116998,-0.007693872948995161
PL1516,Jack Butland,Stoke City,False,PRESSURED,VERY_LONG,9,0.3333333333333333,0.49924670873196436,-0.007023060724325948
PL1516,Jack Butland,Stoke City,True,FREE,LONG,113,0.5221238938053098,0.6022938965498352,-0.0038202398324754007
PL1516,Jack Butland,Stoke City,True,FREE,MEDIUM,10,1.0,0.6120876168187531,-0.004106180738861637
PL1516,Jack Butland,Stoke City,True,FREE,SHORT,42,1.0,0.6235897142305932,-0.003954240817519074
PL1516,Jack Butland,Stoke City,True,FREE,VERY_LONG,117,0.4444444444444444,0.5905817712341227,-0.004338007315935069
PL1516,Jakob Haugaard,Stoke City,False,FREE,LONG,33,0.7575757575757576,0.6683951408839666,-0.004995043418727386
PL1516,Jakob Haugaard,Stoke City,False,FREE,MEDIUM,12,0.8333333333333334,0.7509066581695628,-0.0041275056466317335
PL1516,Jakob Haugaard,Stoke City,False,FREE,SHORT,18,1.0,0.858018896336421,-0.0022074798008736023
PL1516,Jakob Haugaard,Stoke City,False,FREE,VERY_LONG,31,0.5161290322580645,0.5987971738083702,-0.005411449395126634
PL1516,Jakob Haugaard,Stoke City,False,PRESSURED,LONG,4,0.5,0.43885059596041787,-0.009786854468813229
PL1516,Jakob Haugaard,Stoke City,False,PRESSURED,MEDIUM,1,0.0,0.4723247232472324,-0.01109228362553221
PL1516,Jakob Haugaard,Stoke City,False,PRESSURED,VERY_LONG,3,0.6666666666666666,0.49824999080555593,-0.005925645866299557
PL1516,Jakob Haugaard,Stoke City,True,FREE,LONG,8,0.625,0.6288645535316759,-0.003793946295485788
PL1516,Jakob Haugaard,Stoke City,True,FREE,MEDIUM,5,0.8,0.6025081851609873,-0.0042539768607059115
PL1516,Jakob Haugaard,Stoke City,True,FREE,SHORT,1,1.0,0.664440734557596,-0.0024002947653302452
PL1516,Jakob Haugaard,Stoke City,True,FREE,VERY_LONG,25,0.64,0.6354538436872245,-0.003522838940855361
